id,film,leto_filma,knjiga,leto_izida_knjige
1,The Left Hand of God,1955,The Left Hand of God,1951
2,Yangtse Incident: The Story of H.M.S. Amethyst,1957,"Yangtse Incident: The Story of H.M.S. Amethyst, April 20, 1949, to July 31, 1949",1950
3,Satan Never Sleeps,1962,Satan Never Sleeps,1962
4,Farewell My Concubine,1993,Farewell My Concubine,1993
5,Assembly,2007,Guan Si,1990
6,Eleni,1985,Eleni,1983
7,The Quiet American,1958,The Quiet American,1955
8,The 317th Platoon,1965,La 31 Section,1963
9,The Quiet American,2002,The Quiet American,1955
10,The Third Man,1949,The Third Man,1950
11,The Red Danube,1949,Vespers in Vienna,1947
12,Assignment – Paris!,1952,Trial of Terror,1950
13,Seven Days in May,1964,Seven Days in May,1962
14,"The Russians Are Coming, the Russians Are Coming",1966,The Off-Islanders,1961
15,The Shoes of the Fisherman,1968,The Shoes of the Fisherman,1963
16,Ice Station Zebra,1968,Ice Station Zebra,1963
17,Gorky Park,1983,Gorky Park,1981
18,Atomic Station,1984,The Atom Station,1948
19,Orion's Belt,1985,Orion's Belt,1977
20,Buffalo Soldiers,2001,Buffalo Soldiers,1993
21,Karol: A Man Who Became Pope,2005,Stories of Karol: The Unknown Life of Pope John Paul II,2001
22,"Karol: The Pope, The Man",2006,Stories of Karol: The Unknown Life of Pope John Paul II,2001
23,The Good German,2006,The Good German,2001
24,Action of the Tiger,1957,Action of the Tiger,1950
25,Francis Gary Powers: The True Story of the U-2 Spy Incident,1976,Operation Overflight,1971
26,Firefox,1982,Firefox,1977
27,Smuggler's Ransom,2008,To Die and Live: Smuggler's Ransom,2000
28,The Iron Curtain,1948,This Was My Choice,1948
29,I Was a Communist for the FBI,1951,Saturday Evening Post,1940
30,5 Steps to Danger,1957,The Steel Mirror,1948
31,From Russia with Love,1963,"From Russia, with Love",1957
32,Hot Enough for June,1964,The Night of Wenceslas,1960
33,The Spy Who Came in from the Cold,1965,The Spy Who Came in from the Cold,1963
34,The Ipcress File,1965,The IPCRESS File,1962
35,The Deadly Affair,1966,Call for the Dead,1961
36,The Looking Glass War,1969,The Looking Glass War,1965
37,Topaz,1969,Topaz,1967
38,The Kremlin Letter,1970,The Kremlin Letter,1960
39,Hopscotch,1980,Hopscotch,1975
40,TASS Is Authorized to Declare...,1984,ТАСС уполномочен заявить...,1979
41,The Falcon and the Snowman,1985,The Falcon and the Snowman: A True Story of Friendship and Espionage,1979
42,The Whistle Blower,1986,The Whistle Blower,1984
43,No Way Out,1987,The Big Clock,1946
44,Scandal,1989,Scandal,1989
