film_id,zvrst
1,Novel
2,Non-fiction
3,Novel
4,Novel
5,Novel
6,Non-fiction
7,Novel
8,Novel
9,Novel
10,Novella
11,Novel
12,Story
13,Novel
14,Novel
15,Novel
16,Novel
17,Novel
18,Novel
19,Novel
20,Novel
21,Non-fiction
22,Non-fiction
23,Novel
24,Novel
25,Memoir
26,Novel
27,Story
28,Memoir
29,Stories
30,Novel
31,Novel
32,Novel
33,Novel
34,Novel
35,Novel
36,Novel
37,Novel
38,Novel
39,Novel
40,Novel
41,Non-fiction
42,Novel
43,Novel
44,Memoir
45,Novel
46,Novel
47,Memoir
48,Novel
49,Novel
50,Novel
51,Novel
52,Novel
53,Novel
54,Novel
55,Memoir
56,Novel
57,Novel
58,Novel
59,Novel
60,Novel
61,Novel
62,Novel
63,Novel
64,Novel
65,Autobiography
66,Non-fiction
67,Novel
68,Memoir
69,Non-fiction
70,Non-fiction
71,Novel
72,Novel
73,Novel
74,Novel
75,Non-fiction
76,Non-fiction
77,Novels
78,Novel
79,Novel
80,Novel
81,Novel
82,Novel
83,Novel
84,Novel
85,Novel
86,Graphic novel
87,Novel
88,Novel
89,Novel
90,Novel
91,Novel
92,Tetralogy
93,Novel
94,Novel
95,Novel
96,Novel
97,Novel
98,Story
99,Novel
100,Non-fiction
101,Novel
102,Non-fiction
103,Novel
104,Novel
105,Novel
106,Novel
107,Novel
108,Non-fiction
109,Novel
110,Novel
111,Novel
112,Non-fiction
113,Novel
114,Novel
115,Non-fiction
116,Non-fiction
117,Novel
118,Novel
119,Novel
120,Novel
121,Memoir
122,Novel
123,Novel
124,Novel
125,Autobiography
126,Novel
127,Novel
128,Novel
129,Novel
130,Novel
131,Diary
132,Novel
133,Novel
134,Novel
135,Novel
136,Novel
137,Memoir
138,Fable
139,Novel
140,Novel
141,Novel
142,Memoir
143,Non-fiction
144,Non-fiction
145,Novel
146,Novel
147,Novel
148,Novella
149,Novel
150,Novel
150,Memoir
151,Novel
152,Story
153,Non-fiction
154,Novel
155,Non-fiction
156,Non-fiction
157,Novel
158,Memoir
159,Novel
160,Autobiography
161,Memoir
162,Novel
163,Novel
164,Novel
165,Novel
166,Non-fiction
167,Memoir
168,Novel
169,Novel
170,Memoir
171,Novel
172,Novel
173,Memoir
174,Novel
175,Novel
176,Novel
177,Comic
178,Non-fiction
179,Non-fiction
180,Novel
181,Non-fiction
182,Diary
183,Novel
184,Novel
185,Novel
186,Novel
187,Novel
188,Novel
189,Memoir
190,Novel
191,Non-fiction
192,Memoir
193,Diary
194,Story
195,Novel
196,Novel
197,Novel
198,Novel
199,Diaries
200,Non-fiction
201,Non-fiction
202,Novel
203,Non-fiction
204,Novel
205,Memoir
206,Novel
207,Non-fiction
208,Memoir
209,Novel
210,Memoir
211,Non-fiction
212,Non-fiction
213,Non-fiction
214,Novel
215,Graphic novel
216,Non-fiction
217,Memoir
218,Novel
219,Short Story
220,Non-fiction
221,Memoir
222,Non-fiction
223,Memoir
224,Novel
225,Graphic novel
226,Memoir
227,Novel
228,Novel (unpublished)
229,Story
230,Memoir
231,Memoir
232,Memoir
233,Memoir
234,Novel
235,Novel
236,Novel
237,Story
238,Memoir
239,Novel
240,Article
241,Novel
242,Novel
243,Article
244,Non-fiction
245,Novel
246,Non-fiction
247,Story
248,Scripture
249,Article
250,Libretto
251,Novel
252,Novel
253,Novel
254,Novel
255,Story
256,Novel
257,Texte
